product_details_link,product_title,ram,storage,display,phone_color,operating_system,current_price,old_price,total_reviews,brand_name,seller,seller_rating,ship_on_time
https://www.othoba.com/vision-v1-2gb-rom-32gb-ram-smartphone-metal-green,VISION V1 2GB ROM 32GB RAM Smartphone Metal Green,4 GB,128-255.9 GB,6.4,Blue,Android,6900,,1,VISION,RFL Group Distribution,90%,95%
https://www.othoba.com/vision-v1-2gb-rom-32gb-ram-smartphone-oil-black,VISION V1 2GB ROM 32GB RAM Smartphone Oil Black,4 GB,128-255.9 GB,6.4,Blue,Android,6900,,1,VISION,RFL Group Distribution,90%,95%
https://www.othoba.com/nokia-c12-pro-4gb-ram-2gb-virtual-64gb-best-price-2,Nokia C12 Pro 4GB RAM (2GB Virtual) 64GB (Best Price),6 3,4 GB,64-127.9 GB,Android,Blue,6900,,0,Nokia,Nokia,93%,98%
https://www.othoba.com/nokia-c22-5gb-ram-2gb-virtual-64gb-best-price,Nokia C22 5GB RAM (2GB Virtual) 64GB (Best Price),6 4,4 GB,64-127.9 GB,Android,,6900,,0,Nokia,Nokia,93%,98%
https://www.othoba.com/nokia-c32-7gb-ram-3gb-virtual-ram-64gb-best-price,Nokia C32 7GB RAM (3GB Virtual RAM) 64GB (Best Price),6 4,4 GB,64-127.9 GB,Android,,6900,,0,Nokia,Nokia,93%,98%
https://www.othoba.com/nokia-c32-7gb-ram-3gb-virtual-ram-64gb,Nokia C32 7GB RAM (3GB Virtual RAM) 64GB,6 4,4 GB,64-127.9 GB,Android,,6900,,0,Nokia,Nokia,93%,98%
https://www.othoba.com/nokia-c22-5gb-ram-2gb-virtual-64gb,Nokia C22 5GB RAM (2GB Virtual) 64GB,6 4,4 GB,64-127.9 GB,Android,,6900,,0,Nokia,Nokia,93%,98%
https://www.othoba.com/nokia-c12-pro-4gb-ram-2gb-virtual-64gb,Nokia C12 Pro 4GB RAM (2GB Virtual) 64GB,6 3,4 GB,64-127.9 GB,Android,Blue,6900,,0,Nokia,Nokia,93%,98%
https://www.othoba.com/realme-c55-6gb-128gb-sun-shower,Realme C55 6GB 128GB,4 GB,Android,64-127.9 GB,Black,6.4,6900,,0,realme,Realme,90%,89%
https://www.othoba.com/realme-c55-6gb-128gb-sun-shower-best-price,Realme C55 6GB 128GB (Best Price),4 GB,Android,64-127.9 GB,Black,6.4,6900,,0,realme,Realme,90%,89%
https://www.othoba.com/oppo-a78-8gb-ram-256gb-rom,Oppo A78 8GB RAM 256GB ROM,4 GB,Android,64-127.9 GB,Black,6.4,6900,,0,Oppo,Oppo,93%,89%
https://www.othoba.com/oppo-a58-with-6gb-ram-and-128gb-rom,OPPO A58 with 6GB RAM and 128GB ROM,4 GB,Android,64-127.9 GB,Black,6.4,6900,,0,Oppo,Oppo,93%,89%
https://www.othoba.com/oppo-a58-with-6gb-ram-and-128gb-rom-best-price,OPPO A58 with 6GB RAM and 128GB ROM (Best Price),4 GB,Android,64-127.9 GB,Black,6.4,6900,,0,Oppo,Oppo,93%,89%
https://www.othoba.com/oppo-a58-with-8gb-ram-and-128gb-rom-best-price,OPPO A58 with 8GB RAM and 128GB ROM (Best Price),4 GB,Android,64-127.9 GB,Black,6.4,6900,,0,Oppo,Oppo,93%,89%
https://www.othoba.com/oppo-a58-with-8gb-ram-and-128gb-rom-opp00034,OPPO A58 with 8GB RAM and 128GB ROM,4 GB,Android,64-127.9 GB,Black,6.4,6900,,0,Oppo,Oppo,93%,89%
https://www.othoba.com/oppo-a78-8gb-ram-256gb-rom-best-price,Oppo A78 8GB RAM 256GB ROM (Best Price),4 GB,Android,64-127.9 GB,Black,6.4,6900,,0,Oppo,Oppo,93%,89%
https://www.othoba.com/infinix-hot-30-4gb-128gb,Infinix Hot 30 4GB 128GB,5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-hot-30-4gb-128gb-green,Infinix Hot 30 4GB 128GB Green,5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-hot-30-4gb-128gb-white,Infinix Hot 30 4GB 128GB White,5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-hot-30-8gb-128gb-black,Infinix Hot 30 8GB 128GB Black,5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-hot-30-8gb-128gb-green,Infinix Hot 30 8GB 128GB Green,5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-hot-30-8gb-128gb-white,Infinix Hot 30 8GB 128GB White,5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-hot-30i-4gb-ram-64gb-rom,Infinix Hot 30i 4GB RAM 64GB ROM,5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-hot-30i-4gb-ram-64gb-rom-best-price,Infinix Hot 30i 4GB RAM 64GB ROM (Best Price),5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-hot-30i-8gb-ram-128gb-rom,Infinix Hot 30i 8GB RAM 128GB ROM,5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-note-30-8gb-ram-128gb-rom,Infinix Note 30 8GB RAM 128GB ROM,5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-note-30-8gb-ram-128gb-rom-best-price,Infinix Note 30 8GB RAM 128GB ROM (Best Price),5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-note-30-8gb-ram-256gb-rom-best-price,Infinix Note 30 8GB RAM 256GB ROM (Best Price),5 2,Gold,,Android,,6900,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/oneplus-nord-ce-3-lite-8gb-256gb-pastel-lime,Oneplus Nord CE 3 Lite 8GB 256GB Pastel Lime,6 GB   Above,Android,128-255.9 GB,Blue,6.4,6900,,0,OnePlus,OnePlus,0%,0%
https://www.othoba.com/oneplus-nord-ce-3-lite-8gb-256gb-pastel-lime-best-price,Oneplus Nord CE 3 Lite 8GB 256GB- Pastel Lime (Best Price),6 GB   Above,Android,128-255.9 GB,Blue,6.4,6900,,0,OnePlus,OnePlus,0%,0%
https://www.othoba.com/realme-c30s-3gb-ram-32gb-rom,realme C30S 3GB RAM 64GB ROM,4 GB,Android,64-127.9 GB,Black,6.4,6900,,0,realme,Realme,90%,89%
https://www.othoba.com/realme-c30s-3gb-ram-32gb-rom-best-price,realme C30S 3GB RAM 64GB ROM (Best Price),4 GB,Android,64-127.9 GB,Black,6.4,6900,,0,realme,Realme,90%,89%
https://www.othoba.com/samsung-galaxy-a24-with-8gb-ram-and-128gb-rom,Samsung Galaxy A24 with 8GB RAM and 128GB ROM,6 GB   Above,Android,256 GB & Above,White,6.4,6900,,0,Samsung,Samsung Official Store,94%,96%
https://www.othoba.com/samsung-galaxy-a24-with-8gb-ram-and-128gb-rom-best-price,Samsung Galaxy A24 with 8GB RAM and 128GB ROM (Best Price),6 GB   Above,Android,256 GB & Above,White,6.4,6900,,0,Samsung,Samsung Official Store,94%,96%
https://www.othoba.com/samsung-galaxy-a33-5g-with-8gb-ram-and-128gb-rom,Samsung Galaxy A33 5G with 8GB RAM and 128GB ROM,6 GB   Above,Android,128-255.9 GB,Blue,6.4,49999,,0,Samsung,Samsung Official Store,94%,96%
https://www.othoba.com/samsung-galaxy-a33-5g-with-8gb-ram-and-128gb-rom-awesome-peach-best-price,Samsung Galaxy A33 5G with 8GB RAM and 128GB ROM (Best Price),6 GB   Above,Android,128-255.9 GB,Blue,6.4,49999,,0,Samsung,Samsung Official Store,94%,96%
https://www.othoba.com/samsung-galaxy-a04-with-4gb-ram-and-64gb-rom,Samsung Galaxy A04 with 4GB RAM and 64GB ROM,6 GB   Above,Android,256 GB & Above,White,6.4,49999,,0,Samsung,Samsung Official Store,94%,96%
https://www.othoba.com/infinix-smart-7-x6515-3gb-64gb,Infinix Smart 7 X6515 3GB 64GB,4 GB,Android,128-255.9 GB,Blue,6.4,49999,,0,Infinix,Infinix,95%,91%
